cue,answer
carpet / alert / ink,red
cane / daddy / plum,sugar
Piece / mind / dating,game
Hound / pressure / shot,blood
Nuclear / feud / album,family
Main / sweeper / light,street
Basket / eight / snow,ball
Food / forward / break,fast
Cottage / swiss / cake,cheese
Night / wrist / stop,watch
Show / life / row,boat
River / note / account,bank
Loser / throat / spot,sore
Sense / courtesy / place,common
Dew / comb / bee,honey
Fish / mine / rush,gold
Political / surprise / line,party
Print / berry / bird,blue
Preserve / range / tropical,forest
Fur / rack / tail,coat
Flake / mobile / cone,snow
Fountain / baking / pop,soda
Safety / cushion / point,pin
Worm / shelf / end,book
Opera / hand / dish,soap
Cream / skate / water,ice
Duck / fold / dollar,bill
Aid / rubber / wagon,band
Cracker / fly / flight,fire
Dream / break / light,day
